1.600808674875942028e-01,8.028076332529063275e-02,8.762999999999999678e-01
8.291666666666666630e-02,1.215384615384615397e-01,8.970000000000000195e-01
1.371507280598189826e-01,1.211874745831638817e-01,8.707000000000000295e-01
8.954926206621459384e-02,1.068993180906538248e-01,9.018000000000000460e-01
1.381932851048043032e-01,6.270340637882404478e-02,8.965999999999999526e-01
1.793286219081272059e-01,5.645161290322580488e-02,8.739999999999999991e-01
6.604194556001784233e-02,1.422616890177600679e-01,8.919000000000000261e-01
9.968102073365231464e-02,9.008828250401283710e-02,9.051000000000000156e-01
9.371221281741233533e-02,1.059944422389837299e-01,9.001000000000000112e-01
1.110680364411707755e-01,1.086552365213798860e-01,8.901000000000000023e-01
1.163429468314694931e-01,1.062614725678156236e-01,8.885999999999999455e-01
1.607639532727609954e-01,8.465378771434772798e-02,8.742999999999999661e-01
4.974666052510363923e-02,1.440438317426652459e-01,8.969000000000000306e-01
1.078603471815876708e-01,8.577878103837471846e-02,9.029000000000000359e-01
9.278350515463917869e-02,1.360777587192681659e-01,8.844999999999999529e-01
1.608239971087820630e-01,7.971339005821764800e-02,8.753999999999999559e-01
1.582990887975701255e-01,6.177606177606177751e-02,8.841999999999999860e-01
1.589181544988509942e-01,5.549159567119502784e-02,8.860000000000000098e-01
1.197321780228436383e-01,1.095083299471759503e-01,8.852999999999999758e-01
1.190522057407050610e-01,8.712830110210022239e-02,8.962999999999999856e-01
1.176134197483797161e-01,8.224652923853596753e-02,8.991999999999999993e-01
9.127871518601342327e-02,9.781539067112772490e-02,9.053999999999999826e-01
8.657648283038502091e-02,1.285851780558228963e-01,8.915999999999999481e-01
9.479060265577118893e-02,1.104799216454456362e-01,8.971999999999999975e-01
1.086780210867802077e-01,1.112865035516969192e-01,8.900000000000000133e-01
1.478408448048274537e-01,1.121992761337023692e-01,8.689000000000000057e-01
1.303788157410812887e-01,7.102148180622533391e-02,8.967000000000000526e-01
9.772256728778468127e-02,1.232108317214700155e-01,8.891000000000000014e-01
1.725702320711917648e-01,5.879597095338486706e-02,8.760000000000000009e-01
7.943439384487419042e-02,1.042188403005201297e-01,9.076999999999999513e-01
1.330488031174615060e-01,8.045977011494252762e-02,8.911999999999999922e-01
1.076684740511231614e-01,8.602150537634409289e-02,9.028000000000000469e-01
